Variant,ATE,CI_lo,CI_hi,AIC
Local level (primary),-8.161130736146173,-19.220832601145176,2.3033553687307227,5977.943155434457
Deterministic constant,-10.213123250774021,-11.12502076947554,-9.283693964505177,6137.827887582083
Deterministic trend,-2.268739266031119,-3.2657528941019476,-1.3043686470305302,6117.562717686422
