quantity,value,ci_lo,ci_hi,p
pre_trend_slope,-4.325327125981597,-6.429483796824936,-2.221170455138258,5.603294547548368e-05
ate_baseline,-10.32108753709247,-14.058259095145244,-6.0007261652332895,
ate_trend_aware,-9.414298164209898,-12.930681573970698,-5.8326198627712,
xgb_captured_slope,-4.0681893841116015,,,
